gallery,major,minor,featureid,url,,,,,,,
274_R,13596,13588,-1,-1,,,,,,,
276a,31165,36661,-1,-1,,,,,,,
276b_1,2970,40461,-1,-1,,,,,,,
276b_2,61494,53892,-1,-1,,,,,,,
290b_1,61211,30460,-1,-1,,,,,,,
290b_2,45113,2519,-1,-1,,,,,,,
48_B,60491,21435,-1,-1,,,,,,,
48_M,50127,64189,-1,-1,,,,,,,
48_T,36685,21184,-1,-1,,,,,,,
49_B,49667,55829,-1,-1,,,,,,,
49_M,14958,9310,-1,-1,,,,,,,
49_T,304,20049,-1,-1,,,,,,,
bath_159,55020,36034,-1,-1,,,,,,,
bath_258_262,23537,27965,-1,-1,,,,,,,
bath_275,57478,33767,-1,-1,,,,,,,
bath_275,46848,58121,-1,-1,,,,,,,
bath_hallway_education_T,58819,14157,-1,-1,,,,,,,
cafe_balcony,6393,48118,-1,-1,,,,,,,
coat_L,40294,29259,-1,-1,,,,,,,
coat_R,37062,1732,-1,-1,,,,,,,
elevator_education,13220,54497,-1,-1,,,,,,,
entrance_east,39331,16146,-1,-1,,,,,,,
entrance_west,54543,38071,-1,-1,,,,,,,
entrance_west,23894,14649,-1,-1,,,,,,,
granite_hill,28726,49018,-1,-1,,,,,,,
GSH_1_B_L,32520,64792,-1,-1,,,,,,,
GSH_1_B_L,46646,55409,-1,-1,,,,,,,
GSH_1_B_L-ticketing_desk,50349,57260,-1,-1,,,,,,,
GSH_1_B_R,32396,200,-1,-1,,,,,,,
GSH_1_B_R,52122,17155,-1,-1,,,,,,,
GSH_1_M_L,54927,26313,-1,-1,,,,,,,
GSH_1_M_R,53827,19489,-1,-1,,,,,,,
GSH_1_stairs,40064,20695,-1,-1,,,,,,,
GSH_1_stairs_L,10893,19235,-1,-1,,,,,,,
GSH_1_stairs_R,63760,34159,-1,-1,,,,,,,
GSH_1_T_L,31633,60320,-1,-1,,,,,,,
GSH_1_T_R,54733,24192,-1,-1,,,,,,,
GSH_2_1,56504,1871,-1,-1,,,,,,,
GSH_2_3,54943,24836,-1,-1,,,,,,,
GSH_2_B_L,52372,11765,-1,-1,,,,,,,
GSH_2_B_R,24978,9505,-1,-1,,,,,,,
GSH_2_M_L,41037,28257,-1,-1,,,,,,,
GSH_2_M_R,26667,11448,-1,-1,,,,,,,
GSH_2_stairs,32390,24999,-1,-1,,,,,,,
GSH_2_stairs,63212,57726,-1,-1,,,,,,,
GSH_2_T_L,36536,46812,-1,-1,,,,,,,
GSH_2_T_R,64572,43700,-1,-1,,,,,,,
hallway_48_C,27092,28875,-1,-1,,,,,,,
hallway_48_L,58161,43577,-1,-1,,,,,,,
hallway_48_R,58875,43787,-1,-1,,,,,,,
hallway_education_B,48115,5644,-1,-1,,,,,,,
hallway_education_end,28394,19082,-1,-1,,,,,,,
hallway_education_M,1851,59763,-1,-1,,,,,,,
hallway_education_T,32600,43215,-1,-1,,,,,,,
HBG_L,64809,21762,-1,-1,,,,,,,
HBG_R,54881,6422,-1,-1,,,,,,,
LFH_B_L-ticketing_desk,26992,51268,-1,-1,,,,,,,
LFH_C,6853,28070,-1,-1,,,,,,,
LFH_G_stairs,5503,59926,-1,-1,,,,,,,
LFH_hallway_L,10981,27033,-1,-1,,,,,,,
LFH_hallway_R,15633,9703,-1,-1,,,,,,,
LFH_L,4707,5901,-1,-1,,,,,,,
LFH_R,46453,61315,-1,-1,,,,,,,
store_balcony,59018,33449,-1,-1,,,,,,,
store_main,28338,41653,-1,-1,,,,,,,
store_special,36619,21871,-1,-1,,,,,,,
